id,customer_id,amount,order_date
14,12763,909.24,2026-02-13
41,23320,363.04,2026-02-15
151,259,785.55,2026-02-12
187,34239,353.61,2026-02-15
217,24529,697.8,2026-02-16
218,20086,259.74,2026-02-13
232,3982,459.22,2026-02-15
258,41645,738.26,2026-02-15
268,27970,349.34,2026-02-17
270,42881,635.63,2026-02-16
401,33808,404.13,2026-02-13
514,27592,88.29,2026-02-17
518,10668,244.68,2026-02-16
557,6300,813.68,2026-02-13
576,28823,259.24,2026-02-16
595,49861,71.31,2026-02-17
675,13163,947.48,2026-02-17
736,32728,328.12,2026-02-16
782,30329,529.53,2026-02-17
902,9824,715.24,2026-02-13
911,47587,148.3,2026-02-14
963,8533,635.13,2026-02-16
996,9969,797.59,2026-02-14
1039,496,815.47,2026-02-12
1046,26161,13.68,2026-02-18
1214,34660,626.88,2026-02-16
1219,24955,303.76,2026-02-15
1363,40454,758.97,2026-02-13
1412,7456,393.96,2026-02-14
1647,28488,684.04,2026-02-14
1704,31317,923.31,2026-02-17
1725,467,53.77,2026-02-12
1768,1539,537.12,2026-02-13
1800,36460,371.87,2026-02-16
1996,12317,28.88,2026-02-16
2029,24773,544.57,2026-02-16
2044,29926,616.5,2026-02-18
2109,8250,828.94,2026-02-18
2165,47202,88.35,2026-02-16
2176,49302,473.21,2026-02-13
2256,43345,590.17,2026-02-18
2263,10609,18.27,2026-02-12
2278,11876,419.03,2026-02-16
2314,5005,556.8,2026-02-16
2469,27846,982.43,2026-02-12
2474,37381,469.85,2026-02-13
2483,9498,336.59,2026-02-12
2611,7014,676.4,2026-02-12
2636,40234,272.35,2026-02-18
2657,22729,702.03,2026-02-18
2676,12811,361.8,2026-02-18
2912,36911,774.75,2026-02-13
2963,21298,482.7,2026-02-18
3025,31112,815.27,2026-02-17
3031,22321,931.68,2026-02-15
3070,65,759.78,2026-02-17
3094,22634,706.34,2026-02-16
3099,29481,312.27,2026-02-13
3375,22062,782.62,2026-02-12
3417,13671,593.81,2026-02-17
3577,43993,183.49,2026-02-16
3598,10023,427.73,2026-02-15
3670,767,85.59,2026-02-15
3704,40594,65.5,2026-02-12
3746,42287,769.43,2026-02-17
3887,2125,836.32,2026-02-14
3900,35285,800.22,2026-02-15
4014,1886,388.54,2026-02-16
4051,16751,183.37,2026-02-18
4108,38499,874.06,2026-02-17
4186,4350,996.16,2026-02-16
4209,20580,678.88,2026-02-18
4230,42106,283.69,2026-02-18
4236,17929,869.07,2026-02-18
4303,29023,249.48,2026-02-12
4365,33404,741.86,2026-02-12
4401,5573,319.66,2026-02-18
4405,47724,378.81,2026-02-13
4415,28944,664.95,2026-02-17
4538,30315,960.41,2026-02-15
4578,6963,622.37,2026-02-13
4588,21158,544.9,2026-02-17
4590,28982,263.64,2026-02-14
4599,39116,964.19,2026-02-18
4624,31311,912.62,2026-02-17
4668,42254,526.44,2026-02-18
4706,49610,842.49,2026-02-16
4726,43689,972.73,2026-02-16
4736,18564,240.33,2026-02-16
4755,47711,238.69,2026-02-17
4778,13442,367.65,2026-02-12
4781,13285,62.17,2026-02-17
